5/4/2014,5/5/2014,5/6/2014,5/7/2014,5/8/2014,5/9/2014,5/10/2014
-0.9999564396,-0.8312872512,-0.9998102998,-0.99999633,-0.6652147454,-0.920347835,-0.9997462059
-0.9999816354,-0.8419623707,-0.9998213672,-0.9999965986,-0.6692002448,-0.9147964022,-0.9999974478
-0.9999818129,-0.851973891,-1,-0.9998131368,-0.6747394801,-0.9088033014,-1.0000025522
-0.9999709893,-0.8614133873,-1,-1,-0.6960153321,-0.9021789,-0.9313024119
-0.9999709893,-0.8800297908,-1,-1,-0.6810232719,-0.8957837567,-0.9344968369
-0.9999913262,-0.9133188026,-1,-1,-0.6817918582,-0.8886658644,-0.925396758
-1,-0.933626054,-1,-1,-0.6866098058,-0.8831189081,-0.9300564954
-1,-0.9378421774,-1,-1,-0.7038496404,-1,-0.9350487089
-1,-0.9417992394,-1,-1,-0.7150233906,-1,-0.9388798439
-1,-1,-1,-1,-0.8189482573,-1,-0.9366198276
-1,-1,-1,-1,-0.9835462305,-1,-0.971724292
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-0.9998966143,-1,-0.9952220715,-1
-1,-1,-1,-1.0000111703,-1,-0.9751932077,-1
-1,-1,-1,-0.9999836863,-1,-0.953682794,-1
-1,-1,-1,-1.000015564,-1,-0.931515493,-1
-1,-1,-1,-0.9999836118,-1,-0.9373078675,-1
-1,-1,-1,-1.0000162342,-1,-0.9128243731,-1
-1,-1,-1,-1,-1,-0.904481652,-1
-1,-1,-1,-1,-1,-0.8884567367,-1
-1,-1,-1,-1,-1,-0.861476148,-1
-1,-1,-1,-1,-1,-0.7950632749,-1
-1,-1,-1,-1,-1,-0.7683382764,-1
-1,-1,-1,-1.0000535023,-1,-0.7422968295,-1
-1,-1,-1,-0.9998761876,-1,-0.7160929865,-1
-1,-1,-1,-0.9999945166,-1,-0.6898289113,-1
-1,-1,-1,-1,-1,-0.663376504,-1
-1,-1,-1,-0.9999190712,-1,-0.636518995,-1
-1,-1,-1,-1.0000080167,-1,-0.6096360766,-1
-1,-1,-1,-1,-1,-0.5824392273,-1
-1,-1,-1,-1,-1,-0.5545066912,-1
-1,-1,-1,-1,-1,-0.5252883487,-1
-1,-1,-1,-1,-1,-0.4948393302,-1
-1,-1,-1,-1,-1,-0.3028924555,-1
-1,-1,-1,-1,-1,-0.1426298009,-1
-1,-0.9933649053,-1,-1,-1,-0.0265672514,-1
-1,-0.9861081765,-1,-1.0000131118,-1,0.0381275325,-1
-1,-1,-1,-1,-1,0.0496969924,-1
-1,-1,-1,-1,-1,0.0640406283,-1
-1,-1,-1,-1,-1,0.0812529931,-1
-1,-1,-1,-1,-1,0.1003144904,-1
-1,-1,-1,-1,-1,0.120929514,-1
-1,-1,-1,-1,-1,0.1426904773,-1
-1,-0.9981288508,-1,-1,-1,0.1658944181,-1
-1,-0.9957421904,-1,-1,-1,0.1897779774,-1
