Block,Sub Item,Tstat5 Legacy,Tstat6,Bytes,INTs,Multipler,Length info column,Operation info,Register and Description,XML Tag,"Keyword list(case insensitive)"
COMMON,,0 to 3,0 to 3,4,int8,1,Low byte,R,Serial Number - 4 byte value.  Read-only,,
COMMON,,4 to 5,4 to 5,2,int8,0.1,Low byte,R,Software Version 2 byte value.  Read-only,,
COMMON,,6,6,1,int8,1,Low byte,W/R,ADDRESS. Modbus device address,,
COMMON,,7,7,1,int8,1,Low byte,R,Product Model.  This is a read-only register that is used by the microcontroller to determine the product,,
COMMON,,8,8,1,int8,1,Low byte,R,"Hardware Revision.  This is a read-only register that is used by 
the microcontroller to determine the hardware rev",,
COMMON,,9,9,1,int8,1,Low byte,R,PIC firmware version,,
COMMON,,515,10,1,int8,1,Low byte,R,PIC version of Humidity module,,
COMMON,,10,11,1,int8,1,Low byte,W/R,"PLUG_N_PLAY_ADDRESS,   plug n play address, used by the network
master to resolve address conflicts. See VC code for algorithms",,
COMMON,,,14,1,,,not use,,Spare,,
COMMON,,15,15,1,int8,1,Low byte,R,"Base address selection.0 = Protocol address,1 = PLC address.",,
COMMON,,16,16,1,int8,1,Low byte,W/R(Reboot after write),"Firmware Update Register, used to show the status of firmware updates.Writing 143 sets the config back to out of the box except for Modbus ID and baud rate. Write 159 to fix the current config as the user defaults, this is done automatically by T3000 any time a config file is loaded. Writing 175 resets the unit back to the user defaults. ",,
COMMON,,"17,18,19","17,18,19",,,,,,Spare,,
COMMON,,20,20,2,int16,1,Full,R,"Hardware Options Register, starting with LSB: Bit0=Clock present or not, Bit1 = Humidity present or not, Bit2 = C02 Sensor, Bit3=CO sensor, Bit4 = Motion Sensor",,
COMMON,,21,,2,int16,1,Full,,PANID for zigbee devices,,
,,,,,,,,,,,
COMMON,,22 to 100,22to100,,,,,,"Blank, for future use ",,
MODE,,106,101,1,int8,1,Low byte,W/R,"COOL_HEAT_MODE, heating or cooling mode. 0=none, 1=cooling, 2=heating.",,
MODE,,107,102,1,int8,1,Low byte,R,"MODE_OPERATION, heating or cooling state: 0-7 =  coasting, cooling 1,2,3, heating 1,2,3",,
MODE,,118,103,1,int8,1,Low byte,W/R(Reboot after write),"SEQUENCE , 0 = internal test sequence, outputs slowly cycle on/off or ramp up & down. 1 = normal, operation according to the output tables.",,
MODE,,121,104,1,int8,1,Low byte,W/R(Reboot after write),"DEGC_OR_F, engineering units, Deg C = 0, Deg F = 1",,
MODE,,122,105,1,int8,1,Low byte,W/R,"numer  of fan speeds or system modes,.. Single speed = 1 up to three speed fan = 3",,
MODE,,127,106,1,int8,1,Low byte,W/R,"POWER UP_MODE, mode of operation on power up. 0 = power off, 
1 = power up in on mode, 2 = last value (default), 3 =  auto mode.",,
MODE,,129,107,1,int8,1,Low byte,W/R,"AUTO_ONLY , enables or disables manual mode. 0 = Manual Fan Modes 1-x Allowed 
(depending on R122 value, 1 = Auto Mode Only, 2 = DDC mode,the user can not change setpoint and fan speed from keypad.",,
MODE,,134,108,1,int8,1,Low byte,W/R(Reboot after write),Write 1 to register 108 - resets the unit to latest factory defaults. (same as writing Writing 143 to register 16),,
MODE,,184,109,1,int8,1,Low byte,W/R,"Info Byte, this register contains info about the state of the tstat.  ",,
,,184_0,109_0,,,,,,"Bit 0 is read/write and shows the occupancy mode.  Bit 0 = 0 means unoccupied. 
Bit 0 = 1 means occupied.  ",,
,,184_1,109_1,,,,,,"Bit 1 is read only and shows the reset state.  Bit 1 = 0 means hardware restart. 
Bit 1 = 1 means software restart.  ",,
,,184_2,109_2,,,,,,"Bit 2 is read/write and is the reset prevention bit.  Bit 2 = 0 means the tstat will automatically 
reset after certain registers are changed. Bit 2 = 1 prevents this reset.  
Changing this bit from 1 to 0 will trigger a reset.",,
,,184_3,109_3,,,,,,Bit 3 is the state of the digital input.  Bit 3 = 1 means logic high.  Bit 3 = 0 means logic low.,,
,,184_4,109_4,,,,,,"Bit 4: Reserved, used for some non standard occupancy sensor logic",,
,,184_5,109_5,,,,,,"Bit5 0=no delay on modbus reply, 1= 10ms delay before send  for slower PLC's to switch from TX to RX",,
MODE,,184_7,109_7,,,,,,"Bit7, RS485/wireless communications mode: The normal communications method is a bus topology using RS485 which uses a transmit enable or TX_EN line on the RS485 hardware whenever transmission from the thermostat to the bus takes place. 
For wireless devices this is typically taken care of by the radio module itself so it is not needed. 
Default = 0, 
When bit7 is 0, the RS485 chip, TX_EN line is used for normal RS485 bus communications. 
When bit7 is 1, the TX_EN line is not used, allowing the radio module to communicate one-to-one with the Tstat",,
MODE,,185,110,1,int8,1,Low byte,W/R(Reboot after write),"Bau - Baudrate, 0=9600, 1=19.2kbaud",,
MODE,,211,111,1,int8,1,Low byte,W/R,"Unoccupied Override Timer, Ort. 0=disabled, >0=number of minutes manual override is allowed",,
MODE,,212,112,1,int8,1,Low byte,W/R,"OVERRIDE_TIMER_DOWN_COUNT - Number of minutes remaining on the timer when 
unoccupied override timer is in effect.",,
