Point Name,Volttron Point Name,Units,Type,Writable,Readable,Default Value,Notes
fanMinOnTime,fanMinOnTime,string,setting,True,True,,
fanControlRequired,FanControlRequired,bool,setting,True,True,,
hvacMode,hvacMode,seconds,setting,True,True,,
humidity,humidity,%,setting,False,True,,
humidifierMode,humidifierMode,On/Off,setting,True,True,,
coolHoldTemp,coolHoldTemp,degF,hold,True,False,,
heatHoldTemp,heatHoldTemp,degF,hold,True,False,,
desiredCool,desiredCool,degF,hold,False,True,,
desiredHeat,desiredHeat,degF,hold,False,True,,
actualTemperature,actualTemperature,degF,hold,False,True,,
useCelsius,useCelsius,bool,setting,False,True,,
useTimeFormat12,useTimeFormat12,bool,setting,False,True,,
compressorProtectionMinTime,compressorProtectionMinTime,seconds,setting,True,True,,
compressorProtectionMinTemp,compressorProtectionMinTemp,degF,setting,True,True,,
stage1HeatingDifferentialTemp,stage1HeatingDifferentialTemp,degF,setting,True,True,,
stage1CoolingDifferentialTemp,stage1CoolingDifferentialTemp,degF,setting,True,True,,
stage1HeatingDissipationTime,stage1HeatingDissipationTime,seconds,setting,True,True,,
stage1CoolingDissipationTime,stage1CoolingDissipationTime,seconds,setting,True,True,,
heatPumpReversalOnCool,heatPumpReversalOnCool,bool,setting,True,True,,
heatCoolMinDelta,heatCoolMinDelta,degF,setting,True,True,,
tempCorrection,tempCorrection,degF,setting,True,True,,
holdAction,holdAction,string,setting,True,True,,
heatPumpGroundWater,heatPumpGroundWater,bool,setting,True,True,,
dehumidifierMode,dehumidifierMode,seconds,setting,True,True,,
dehumidifierLevel,dehumidifierLevel,%,setting,True,True,,
dehumidifyWithAC,dehumidifyWithAC,bool,setting,True,True,,
dehumidifyOvercoolOffset,dehumidifyOvercoolOffset,degF,setting,True,True,,
autoHeatCoolFeatureEnabled,autoHeatCoolFeatureEnabled,bool,setting,True,True,,
disablePreHeating,disablePreHeating,bool,setting,True,True,,
disablePreCooling,disablePreCooling,bool,setting,True,True,,
ventilatorMinOnTimeHome,ventilatorMinOnTimeHome,string,setting,True,True,,
ventilatorMinOnTimeAway,ventilatorMinOnTimeAway,string,setting,True,True,,
isVentilatorTimerOn,isVentilatorTimerOn,bool,setting,False,True,,
ventilatorOffDateTime,ventilatorOffDateTime,string,setting,True,True,,
coolingLockout,coolingLockout,bool,setting,True,True,,
ventilatorFreeCooling,ventilatorFreeCooling,bool,setting,True,True,,
dehumidifyWhenHeating,dehumidifyWhenHeating,bool,setting,True,True,,
ventilatorDehumidify,ventilatorDehumidify,bool,setting,True,True,,
actualHumidity,actualHumidity,%,hold,False,True,,
rawTemperature,rawTemperature,degF,hold,False,True,,
desiredHumidity,desiredHumidity,%,hold,False,True,,
desiredDehumidity,desiredDehumidity,%,hold,False,True,,
desiredFanMode,desiredFanMode,string,hold,False,True,,
desiredHeatRange,desiredHeatRange,range,hold,False,True,,
desiredCoolRange,desiredCoolRange,range,hold,False,True,,
vent,vent,On/Off,setting,True,True,,
ventilatorMinOnTime,ventMinOnTime,seconds,setting,True,True,,
eiLocation,location,string,setting,False,True,,
coolStages,coolStages,quantity,setting,False,True,,
heatStages,heatStages,quantity,setting,False,True,,
maxSetBack,maxSetBack,%,setting,True,True,,
maxSetForward,maxSetForward,%,setting,True,True,,
quickSaveSetBack,quickSaveSetBack,%,setting,True,True,,
quickSaveSetForward,quickSaveSetForward,%,setting,True,True,,
condensationAvoid,condensationAvoid,bool,setting,True,True,,
