Service_Point_Name,Standard_Point_Name,Service_Units,Standard_Units
tempf,surface_temperature,degF,
humidity,relative_humidity,,
windspeedmph,wind_speed,mph,
winddir,wind_from_direction,,
windgustmph,wind_speed_of_gust,mph,
maxdailygust,,mph,
windgustdir,,,
winddir_avg2m,,,
windspdmph_avg2m,,mph,
winddir_avg10m,,,
windspdmph_avg10m,,mph,
baromrelin,,Hg,
baromabsin,,Hg,
tempinf,surface_temperature_indoor,degF,
humidityin,humidity_indoor,,
hourlyrainin,,inch,
dailyrainin,,inch,
monthlyrainin,,inch,
yearlyrainin,,inch,
eventrainin,,inch,
totalrainin,,inch,
feelsLike,apparent_temperature,degF,
feelsLikein,apparent_temperature_indoor,degF,
dewPoint,dew_point_temperature,degF,
dewPointin,dew_point_temperature_indoor,degF,
soiltempf,,degF,
soilhum,,,
uv,ultraviolet_index,,
solarradiation,solar_irradiance,W / m ** 2,
co2,,,
