Service_Point_Name,Standard_Point_Name,Service_Units,Standard_Units
nearestStormDistance,,,
nearestStormBearing,,,
precipIntensity,lwe_precipitation_rate,millimeter / hour,meter / second
precipProbability,,,
temperature,surface_temperature,degC,degK
apparentTemperature,,degC,degK
dewPoint,dew_point_temperature,degC,degK
humidity,relative_humidity,,
pressure,air_pressure,hectopascal,pascal
windSpeed,wind_speed,,
windGust,wind_speed_of_gust,,
windBearing,wind_from_direction,,
cloudCover,,,
uvIndex,ultraviolet_index,,
visibility,visibility_in_air,kilometer,meter
ozone,atmosphere_mole_content_of_ozone,,
sunriseTime,,,
sunsetTime,,,
moonPhase,,,
precipIntensityMax,,,
temperatureHigh,,degC,degK
temperatureHighTime,,,
temperatureLow,,degC,degK
temperatureLowTime,,,
apparentTemperatureHigh,,degC,degK
apparentTemperatureHighTime,,,
apparentTemperatureLow,,degC,degK
apparentTemperatureLowTime,,,
windGustTime,,,
uvIndexTime,,,
temperatureMin,,degC,degK
temperatureMinTime,,,
temperatureMax,,degC,degK
temperatureMaxTime,,,
apparentTemperatureMin,,degC,degK
apparentTemperatureMinTime,,,
apparentTemperatureMax,,degC,degK
apparentTemperatureMaxTime,,,
precipAccumulation,lwe_thickness_of_precipitation_amount,centimeter,meter
