Service_Point_Name,Standard_Point_Name,Service_Units,Standard_Units
nearestStormDistance,,kilometer,
nearestStormBearing,,,
precipIntensity,lwe_precipitation_rate,millimeter / hour,meter / second
precipProbability,,,
temperature,surface_temperature,degC,degK
apparentTemperature,,,
dewPoint,dew_point_temperature,degC,degK
humidity,relative_humidity,,
pressure,air_pressure,hectopascal,pascal
windSpeed,wind_speed,,
windGust,wind_speed_of_gust,,
windBearing,wind_from_direction,,
cloudCover,,,
uvIndex,ultraviolet_index,,
visibility,visibility_in_air,kilometer,meter
ozone,atmosphere_mole_content_of_ozone,,
sunriseTime,,,
sunsetTime,,,
moonPhase,,,
precipIntensityMax,,,
temperatureHigh,,,
temperatureHighTime,,,
temperatureLow,,,
temperatureLowTime,,,
apparentTemperatureHigh,,,
apparentTemperatureHighTime,,,
apparentTemperatureLow,,,
apparentTemperatureLowTime,,,
windGustTime,,,
uvIndexTime,,,
temperatureMin,,,
temperatureMinTime,,,
temperatureMax,,,
temperatureMaxTime,,,
apparentTemperatureMin,,,
apparentTemperatureMinTime,,,
apparentTemperatureMax,,,
apparentTemperatureMaxTime,,,
precipAccumulation,lwe_thickness_of_precipitation_amount,centimeter,meter
