time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2014-01-01 00:00:00+00:00,14.0,40.04,63.0,467.49,24.0,244.12,2.47,87.0,91752.0
2014-01-01 01:00:00+00:00,13.7,43.34,0.0,0.0,0.0,245.84,2.21,88.0,91764.0
2014-01-01 02:00:00+00:00,13.4,46.63,0.0,0.0,0.0,247.57,1.95,88.0,91776.0
2014-01-01 03:00:00+00:00,13.1,49.92,0.0,0.0,0.0,249.29,1.69,91.0,91785.0
2014-01-01 04:00:00+00:00,12.8,53.21,0.0,0.0,0.0,251.02,1.43,94.0,91794.0
2014-01-01 05:00:00+00:00,12.5,56.5,0.0,0.0,0.0,252.74,1.16,97.0,91803.0
2014-01-01 06:00:00+00:00,12.2,59.8,0.0,0.0,0.0,254.47,0.9,96.0,91785.0
2014-01-01 07:00:00+00:00,11.9,63.09,0.0,0.0,0.0,256.19,0.64,95.0,91767.0
2014-01-01 08:00:00+00:00,7.14,73.45,0.0,0.0,0.0,247.3,1.48,95.0,91749.0
2014-01-01 09:00:00+00:00,6.5,74.93,0.0,0.0,0.0,246.42,1.43,93.0,91752.0
2014-01-01 10:00:00+00:00,5.85,76.41,0.0,0.0,0.0,245.53,1.38,91.0,91755.0
2014-01-01 11:00:00+00:00,5.21,77.89,0.0,0.0,0.0,244.65,1.34,89.0,91758.0
2014-01-01 12:00:00+00:00,5.13,78.59,0.0,0.0,0.0,244.43,1.36,89.0,91803.0
2014-01-01 13:00:00+00:00,5.06,79.3,0.0,0.0,0.0,244.22,1.37,89.0,91848.0
2014-01-01 14:00:00+00:00,4.99,80.0,0.0,0.0,0.0,244.0,1.39,89.0,91893.0
2014-01-01 15:00:00+00:00,9.2,63.33,77.0,501.48,27.0,248.6,1.14,74.0,91911.0
2014-01-01 16:00:00+00:00,13.4,46.66,267.0,792.68,49.0,253.2,0.89,58.0,91929.0
2014-01-01 17:00:00+00:00,17.61,29.99,439.0,910.25,59.0,257.8,0.63,42.0,91947.0
2014-01-01 18:00:00+00:00,18.93,26.39,564.0,964.52,65.0,259.65,1.09,32.0,91851.0
2014-01-01 19:00:00+00:00,20.24,22.78,629.0,987.9,68.0,261.5,1.54,22.0,91755.0
2014-01-01 20:00:00+00:00,21.55,19.18,627.0,988.38,68.0,263.35,2.0,12.0,91659.0
2014-01-01 21:00:00+00:00,20.75,21.55,558.0,965.51,65.0,263.0,2.04,12.0,91644.0
2014-01-01 22:00:00+00:00,19.94,23.91,429.0,909.67,59.0,262.65,2.07,11.0,91629.0
2014-01-01 23:00:00+00:00,19.13,26.28,255.0,796.83,47.0,262.3,2.11,11.0,91614.0
2014-01-02 00:00:00+00:00,16.95,31.43,65.0,466.47,25.0,260.33,1.8,20.0,91677.0
2014-01-02 01:00:00+00:00,14.76,36.59,0.0,0.0,0.0,258.37,1.49,29.0,91740.0
2014-01-02 02:00:00+00:00,12.57,41.74,0.0,0.0,0.0,256.4,1.17,38.0,91803.0
2014-01-02 03:00:00+00:00,11.66,44.13,0.0,0.0,0.0,255.55,1.26,48.0,91827.0
2014-01-02 04:00:00+00:00,10.75,46.51,0.0,0.0,0.0,254.7,1.35,59.0,91851.0
2014-01-02 05:00:00+00:00,9.83,48.9,0.0,0.0,0.0,253.85,1.43,69.0,91875.0
2014-01-02 06:00:00+00:00,9.35,51.12,0.0,0.0,0.0,252.73,1.47,73.0,91884.0
2014-01-02 07:00:00+00:00,8.87,53.35,0.0,0.0,0.0,251.62,1.5,78.0,91893.0
2014-01-02 08:00:00+00:00,8.38,55.57,0.0,0.0,0.0,250.5,1.53,82.0,91902.0
2014-01-02 09:00:00+00:00,8.22,56.87,0.0,0.0,0.0,249.98,1.75,80.0,91926.0
2014-01-02 10:00:00+00:00,8.05,58.17,0.0,0.0,0.0,249.47,1.96,78.0,91950.0
2014-01-02 11:00:00+00:00,7.89,59.47,0.0,0.0,0.0,248.95,2.18,76.0,91974.0
2014-01-02 12:00:00+00:00,7.62,60.45,0.0,0.0,0.0,248.67,2.5,76.0,91980.0
2014-01-02 13:00:00+00:00,7.35,61.42,0.0,0.0,0.0,248.38,2.82,75.0,91986.0
2014-01-02 14:00:00+00:00,7.08,62.4,0.0,0.0,0.0,248.1,3.14,74.0,91992.0
2014-01-02 15:00:00+00:00,11.03,51.56,78.0,513.95,27.0,251.62,3.78,77.0,92004.0
2014-01-02 16:00:00+00:00,14.97,40.73,269.0,800.42,49.0,255.13,4.42,79.0,92016.0
2014-01-02 17:00:00+00:00,18.92,29.89,442.0,916.96,59.0,258.65,5.06,82.0,92028.0
2014-01-02 18:00:00+00:00,20.17,26.4,567.0,967.22,66.0,261.18,4.71,87.0,91926.0
2014-01-02 19:00:00+00:00,21.42,22.92,632.0,991.37,68.0,263.72,4.36,92.0,91824.0
2014-01-02 20:00:00+00:00,22.67,19.43,629.0,989.41,68.0,266.25,4.01,98.0,91722.0
2014-01-02 21:00:00+00:00,21.82,23.37,560.0,966.05,65.0,265.8,3.57,96.0,91692.0
2014-01-02 22:00:00+00:00,20.97,27.31,432.0,912.43,59.0,265.35,3.12,94.0,91662.0
2014-01-02 23:00:00+00:00,20.11,31.25,257.0,793.84,48.0,264.9,2.68,92.0,91632.0
2014-01-03 00:00:00+00:00,17.98,36.21,68.0,487.84,25.0,263.38,2.69,87.0,91644.0
2014-01-03 01:00:00+00:00,15.85,41.18,0.0,0.0,0.0,261.87,2.7,82.0,91656.0
2014-01-03 02:00:00+00:00,13.71,46.14,0.0,0.0,0.0,260.35,2.72,78.0,91668.0
2014-01-03 03:00:00+00:00,12.4,49.49,0.0,0.0,0.0,258.92,2.73,78.0,91692.0
2014-01-03 04:00:00+00:00,11.09,52.84,0.0,0.0,0.0,257.48,2.74,77.0,91716.0
2014-01-03 05:00:00+00:00,9.78,56.19,0.0,0.0,0.0,256.05,2.74,77.0,91740.0
2014-01-03 06:00:00+00:00,8.99,59.11,0.0,0.0,0.0,254.3,2.73,79.0,91737.0
2014-01-03 07:00:00+00:00,8.2,62.02,0.0,0.0,0.0,252.55,2.72,80.0,91734.0
2014-01-03 08:00:00+00:00,7.4,64.94,0.0,0.0,0.0,250.8,2.7,82.0,91731.0
2014-01-03 09:00:00+00:00,6.91,66.64,0.0,0.0,0.0,249.37,2.73,83.0,91722.0
2014-01-03 10:00:00+00:00,6.41,68.35,0.0,0.0,0.0,247.93,2.75,85.0,91713.0
2014-01-03 11:00:00+00:00,5.92,70.05,0.0,0.0,0.0,246.5,2.77,86.0,91704.0
2014-01-03 12:00:00+00:00,6.11,71.52,0.0,0.0,0.0,246.5,2.76,90.0,91698.0
2014-01-03 13:00:00+00:00,6.3,73.0,0.0,0.0,0.0,246.5,2.74,94.0,91692.0
2014-01-03 14:00:00+00:00,6.5,74.47,0.0,0.0,0.0,246.5,2.73,97.0,91686.0
2014-01-03 15:00:00+00:00,10.67,60.94,77.0,505.81,27.0,251.18,2.18,113.0,91683.0
2014-01-03 16:00:00+00:00,14.84,47.4,267.0,796.96,48.0,255.87,1.64,129.0,91680.0
2014-01-03 17:00:00+00:00,19.01,33.87,439.0,909.09,59.0,260.55,1.09,145.0,91677.0
2014-01-03 18:00:00+00:00,20.41,29.46,564.0,962.0,65.0,264.4,1.79,175.0,91566.0
2014-01-03 19:00:00+00:00,21.8,25.05,630.0,985.87,68.0,268.25,2.49,206.0,91455.0
2014-01-03 20:00:00+00:00,23.19,20.64,628.0,984.97,68.0,272.1,3.19,236.0,91343.0
2014-01-03 21:00:00+00:00,22.39,22.52,560.0,962.52,65.0,271.3,2.79,240.0,91313.0
2014-01-03 22:00:00+00:00,21.59,24.41,432.0,907.66,59.0,270.5,2.4,244.0,91283.0
2014-01-03 23:00:00+00:00,20.79,26.29,258.0,790.66,48.0,269.7,2.0,248.0,91253.0
2014-01-04 00:00:00+00:00,19.22,30.28,69.0,474.6,26.0,268.3,1.81,245.0,91253.0
2014-01-04 01:00:00+00:00,17.65,34.27,0.0,0.0,0.0,266.9,1.62,243.0,91253.0
2014-01-04 02:00:00+00:00,16.07,38.26,0.0,0.0,0.0,265.5,1.43,240.0,91253.0
2014-01-04 03:00:00+00:00,15.11,43.87,0.0,0.0,0.0,264.5,1.54,234.0,91289.0
2014-01-04 04:00:00+00:00,14.15,49.49,0.0,0.0,0.0,263.5,1.65,229.0,91325.0
2014-01-04 05:00:00+00:00,13.19,55.1,0.0,0.0,0.0,262.5,1.75,224.0,91361.0
2014-01-04 06:00:00+00:00,12.43,56.81,0.0,0.0,0.0,263.95,2.02,224.0,91370.0
2014-01-04 07:00:00+00:00,11.67,58.52,0.0,0.0,0.0,265.4,2.29,223.0,91379.0
2014-01-04 08:00:00+00:00,10.91,60.23,0.0,0.0,0.0,266.85,2.55,223.0,91388.0
2014-01-04 09:00:00+00:00,10.68,60.0,0.0,0.0,0.0,270.98,2.67,222.0,91397.0
2014-01-04 10:00:00+00:00,10.45,59.78,0.0,0.0,0.0,275.12,2.79,221.0,91406.0
2014-01-04 11:00:00+00:00,10.22,59.55,0.0,0.0,0.0,279.25,2.91,220.0,91416.0
2014-01-04 12:00:00+00:00,9.83,58.69,0.0,0.0,0.0,281.52,3.0,217.0,91431.0
2014-01-04 13:00:00+00:00,9.45,57.83,0.0,0.0,0.0,283.78,3.09,213.0,91446.0
2014-01-04 14:00:00+00:00,9.07,56.97,0.0,0.0,0.0,286.05,3.19,210.0,91461.0
2014-01-04 15:00:00+00:00,11.44,48.97,37.0,30.44,34.0,292.5,3.32,217.0,91491.0
2014-01-04 16:00:00+00:00,13.81,40.96,118.0,40.02,107.0,298.95,3.45,224.0,91521.0
2014-01-04 17:00:00+00:00,16.18,32.96,228.0,102.77,185.0,305.4,3.59,231.0,91551.0
2014-01-04 18:00:00+00:00,17.32,29.37,291.0,98.16,240.0,304.75,3.89,241.0,91476.0
2014-01-04 19:00:00+00:00,18.45,25.77,425.0,281.81,264.0,304.1,4.19,250.0,91400.0
2014-01-04 20:00:00+00:00,19.58,22.18,383.0,191.17,274.0,303.45,4.5,260.0,91325.0
2014-01-04 21:00:00+00:00,18.78,24.74,420.0,410.66,208.0,300.3,3.68,261.0,91334.0
2014-01-04 22:00:00+00:00,17.97,27.3,298.0,307.37,171.0,297.15,2.87,263.0,91343.0
2014-01-04 23:00:00+00:00,17.16,29.86,173.0,261.2,103.0,294.0,2.06,265.0,91352.0
2014-01-05 00:00:00+00:00,16.05,33.41,35.0,32.21,32.0,291.22,1.9,264.0,91394.0
2014-01-05 01:00:00+00:00,14.94,36.97,0.0,0.0,0.0,288.43,1.74,262.0,91437.0
2014-01-05 02:00:00+00:00,13.82,40.52,0.0,0.0,0.0,285.65,1.59,261.0,91479.0
2014-01-05 03:00:00+00:00,13.81,40.5,0.0,0.0,0.0,285.07,1.69,259.0,91533.0
2014-01-05 04:00:00+00:00,13.79,40.47,0.0,0.0,0.0,284.48,1.8,258.0,91587.0
2014-01-05 05:00:00+00:00,13.77,40.45,0.0,0.0,0.0,283.9,1.9,256.0,91641.0
2014-01-05 06:00:00+00:00,13.39,40.92,0.0,0.0,0.0,281.9,1.76,258.0,91650.0
2014-01-05 07:00:00+00:00,13.01,41.39,0.0,0.0,0.0,279.9,1.61,259.0,91659.0
2014-01-05 08:00:00+00:00,12.62,41.86,0.0,0.0,0.0,277.9,1.46,261.0,91668.0
2014-01-05 09:00:00+00:00,11.54,47.87,0.0,0.0,0.0,276.43,1.19,285.0,91680.0
2014-01-05 10:00:00+00:00,10.45,53.88,0.0,0.0,0.0,274.97,0.91,310.0,91692.0
2014-01-05 11:00:00+00:00,9.36,59.89,0.0,0.0,0.0,273.5,0.63,334.0,91704.0
2014-01-05 12:00:00+00:00,8.56,63.78,0.0,0.0,0.0,270.8,0.68,1.0,91755.0
2014-01-05 13:00:00+00:00,7.77,67.67,0.0,0.0,0.0,268.1,0.72,28.0,91806.0
2014-01-05 14:00:00+00:00,6.98,71.56,0.0,0.0,0.0,265.4,0.76,55.0,91857.0
2014-01-05 15:00:00+00:00,9.9,58.56,29.0,0.0,29.0,269.25,0.97,47.0,91893.0
2014-01-05 16:00:00+00:00,12.81,45.57,150.0,138.19,112.0,273.1,1.18,38.0,91929.0
2014-01-05 17:00:00+00:00,15.73,32.57,333.0,434.42,151.0,276.95,1.39,30.0,91965.0
2014-01-05 18:00:00+00:00,16.88,27.88,588.0,1002.91,66.0,275.03,1.66,18.0,91884.0
2014-01-05 19:00:00+00:00,18.02,23.2,657.0,1026.78,69.0,273.12,1.94,7.0,91803.0
2014-01-05 20:00:00+00:00,19.16,18.51,657.0,1028.11,69.0,271.2,2.21,355.0,91722.0
2014-01-05 21:00:00+00:00,18.58,17.97,447.0,503.56,186.0,268.82,2.09,356.0,91722.0
2014-01-05 22:00:00+00:00,18.0,17.43,457.0,955.49,60.0,266.43,1.98,357.0,91722.0
2014-01-05 23:00:00+00:00,17.41,16.89,199.0,403.0,90.0,264.05,1.86,359.0,91722.0
2014-01-06 00:00:00+00:00,15.31,20.48,68.0,397.03,30.0,262.72,1.91,9.0,91770.0
2014-01-06 01:00:00+00:00,13.2,24.08,0.0,0.0,0.0,261.38,1.95,19.0,91818.0
2014-01-06 02:00:00+00:00,11.09,27.67,0.0,0.0,0.0,260.05,2.0,29.0,91866.0
2014-01-06 03:00:00+00:00,10.26,27.13,0.0,0.0,0.0,259.27,1.8,37.0,91911.0
2014-01-06 04:00:00+00:00,9.43,26.58,0.0,0.0,0.0,258.48,1.6,44.0,91956.0
2014-01-06 05:00:00+00:00,8.6,26.04,0.0,0.0,0.0,257.7,1.41,52.0,92001.0
2014-01-06 06:00:00+00:00,8.03,26.3,0.0,0.0,0.0,259.3,1.45,56.0,92025.0
2014-01-06 07:00:00+00:00,7.45,26.55,0.0,0.0,0.0,260.9,1.49,59.0,92049.0
2014-01-06 08:00:00+00:00,6.87,26.81,0.0,0.0,0.0,262.5,1.53,62.0,92073.0
2014-01-06 09:00:00+00:00,6.22,28.7,0.0,0.0,0.0,257.18,1.89,64.0,92103.0
2014-01-06 10:00:00+00:00,5.56,30.59,0.0,0.0,0.0,251.87,2.25,65.0,92133.0
2014-01-06 11:00:00+00:00,4.9,32.48,0.0,0.0,0.0,246.55,2.61,67.0,92163.0
