Register Name,Address,Type,Units,Writable,Transform,Table
serial,40001,uint32,SERIAL,TRUE,,analog_output_holding_registers
freq,40025,uint32,Hz,TRUE,,analog_output_holding_registers
vln_a,40100,uint16,Volts,TRUE,scale(0.1),analog_output_holding_registers
vln_avg,40103,uint16,Volts,TRUE,,analog_output_holding_registers
vll_avg,40107,uint16,Volts,TRUE,scale(0.1),analog_output_holding_registers
i_a,40108,uint16,Amps,TRUE,scale(1),analog_output_holding_registers
i_b,40109,uint16,Amps,TRUE,scale(1),analog_output_holding_registers
i_c,40110,uint16,Amps,TRUE,scale(1),analog_output_holding_registers
i_avg,40111,uint16,Amps,TRUE,scale(0.1),analog_output_holding_registers
kw_sum,40120,int16,kW,TRUE,scale(0.1),analog_output_holding_registers
kvar_sum,40121,int16,kVAR,TRUE,scale(1.0),analog_output_holding_registers
kw_peak_demand,40133,int16,kW,TRUE,scale(0.1),analog_output_holding_registers
kwh_del,40138,uint32,kWh,TRUE,mod10k(True),analog_output_holding_registers
kwh_rec,40140,uint32,kWh,TRUE,mod10k(True),analog_output_holding_registers
kvar_del,40142,uint32,kVARh,TRUE,scale(1.0),analog_output_holding_registers
kvar_rec,40144,uint32,kVARh,TRUE,scale(1.0),analog_output_holding_registers
kvarh_del_p_rec,40146,uint32,kVARh,TRUE,scale(1.0),analog_output_holding_registers
prog_power_scale,44015,uint16,kVAR,TRUE,,analog_output_holding_registers
demand_sub_interval,44016,uint16,interval,TRUE,,analog_output_holding_registers
