Volttron Point Name,Point Name,Units,Writable,Default
b1_Md,b1_Md,NA,FALSE,NA
b1_Opt,b1_Opt,NA,FALSE,NA
b1_SN,b1_SN,NA,FALSE,NA
b1_Vr,b1_Vr,NA,FALSE,NA
b113_A,b113_A,A,FALSE,NA
b113_DCA,b113_DCA,A,FALSE,NA
b113_DCV,b113_DCV,V,FALSE,NA
b113_DCW,b113_DCW,W,FALSE,NA
b113_PF,b113_PF,%,FALSE,NA
b113_WH,b113_WH,Wh,FALSE,NA
b120_AhrRtg,b120_AhrRtg,Ah,FALSE,NA
b120_ARtg,b120_ARtg,A,FALSE,NA
b120_MaxChaRte,b120_MaxChaRte,W,FALSE,NA
b120_MaxDisChaRte,b120_MaxDisChaRte,W,FALSE,NA
b120_WHRtg,b120_WHRtg,Wh,FALSE,NA
b120_WRtg,b120_WRtg,W,FALSE,NA
b121_WMax,b121_WMax,W,FALSE,NA
b122_ActWh,b122_ActWh,Wh,FALSE,NA
b122_StorConn,b122_StorConn,NA,FALSE,NA
b124_WChaMax,b124_WChaMax,W,TRUE,NA
b403_Tmp,b403_Tmp,C,FALSE,NA
b404_DCW,b404_DCW,W,FALSE,NA
b404_DCWh,b404_DCWh,Wh,FALSE,NA
b802_LocRemCtl,b802_LocRemCtl,NA,FALSE,NA
b802_SoC,b802_SoC,%,FALSE,NA
b802_State,b802_State,NA,FALSE,NA
