Volttron Point Name,Units,Writable,Default
tstat_mode,F,TRUE,0
tstat_temp_sensor,F,FALSE,0
tstat_heat_sp,F,TRUE,72
tstat_cool_sp,F,TRUE,75
tstat_fan_mode,NA,TRUE,0
tstat_hvac_state,NA,FLASE,0
heat_pgm_week,NA,TRUE,NA
cool_pgm_week,NA,TRUE,NA
heat_pgm_mon,NA,TRUE,"360,70,480,70,1080,70,1320,70"
heat_pgm_tue,NA,TRUE,"360,70,480,70,1080,70,1320,70"
heat_pgm_wed,NA,TRUE,"360,70,480,70,1080,70,1320,70"
heat_pgm_thu,NA,TRUE,"360,70,480,70,1080,70,1320,70"
heat_pgm_fri,NA,TRUE,"360,70,480,70,1080,70,1320,70"
heat_pgm_sat,NA,TRUE,"360,70,480,70,1080,70,1320,70"
heat_pgm_sun,NA,TRUE,"360,70,480,70,1080,70,1320,70"
cool_pgm_mon,NA,TRUE,"360,78,480,78,1080,78,1320,78"
cool_pgm_tue,NA,TRUE,"360,78,480,78,1080,78,1320,78"
cool_pgm_wed,NA,TRUE,"360,78,480,78,1080,78,1320,78"
cool_pgm_thu,NA,TRUE,"360,78,480,78,1080,78,1320,78"
cool_pgm_fri,NA,TRUE,"360,78,480,78,1080,78,1320,78"
cool_pgm_sat,NA,TRUE,"360,78,480,78,1080,78,1320,78"
cool_pgm_sun,NA,TRUE,"360,78,480,78,1080,78,1320,78"
energy_led,NA,TRUE,0
