REFERENCE POINT,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes,Variance
/Devices/Shirley-MA/North/Inverters/1/DC_Voltage,Inverters.1.DC_Voltage,,,>h,FALSE,40582,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/AC_Grid_Frequency,Inverters.1.AC_Grid_Frequency,,,>h,FALSE,40583,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/L1-to-L2_AC_Voltage,Inverters.1.L1-to-L2_AC_Voltage,,,>h,FALSE,40584,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/L2-to-L3_AC_Voltage,Inverters.1.L2-to-L3_AC_Voltage,,,>h,FALSE,40585,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/L1-to-L3_AC_Voltage,Inverters.1.L1-to-L3_AC_Voltage,,,>h,FALSE,40586,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/Real_AC_Power_Output,Inverters.1.Real_AC_Power_Output,,,>H,FALSE,40587,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/Reactive_AC_Power_Output,Inverters.1.Reactive_AC_Power_Output,,,>H,FALSE,40588,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/On-Grid Hours,Inverters.1.On-Grid Hours,,,>H,FALSE,40589,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/Fan On-Time Hours,Inverters.1.Fan On-Time Hours,,,>H,FALSE,40590,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/Temp AC Output Current Limit,Inverters.1.Temp AC Output Current Limit,,,>h,FALSE,40591,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/Control/Password,Inverters.1.Control.Password,,,>H,TRUE,40614,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Power_Priority_SmartGrid,Inverters.1.Control.Power_Priority_SmartGrid,,,>H,TRUE,40615,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Watts_Reference,Inverters.1.Control.Watts_Reference,,,>H,TRUE,40616,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/OpmodeControlMSW,Inverters.1.Control.OpmodeControlMSW,,,>H,TRUE,99999,,,
/Devices/Shirley-MA/North/Inverters/1/Control/OpmodeControlLSW,Inverters.1.Control.OpmodeControlLSW,,,>H,TRUE,99999,,,
/Devices/Shirley-MA/North/Inverters/1/Control/OpmodeStatusMSW,Inverters.1.Control.OpmodeStatusMSW,,,>H,FALSE,99999,,,
/Devices/Shirley-MA/North/Inverters/1/Control/OpmodeStatusLSW,Inverters.1.Control.OpmodeStatusLSW,,,>H,FALSE,99999,,,
/Devices/Shirley-MA/North/Inverters/1/Control/OpmodeTriggerMSW,Inverters.1.Control.OpmodeTriggerMSW,,,>H,TRUE,99999,,,
/Devices/Shirley-MA/North/Inverters/1/Control/OpmodeTriggerLSW,Inverters.1.Control.OpmodeTriggerLSW,,,>H,TRUE,99999,,,
/Devices/Shirley-MA/North/Inverters/1/Control/Conn_Time_Window,Inverters.1.Control.Conn_Time_Window,,,>H,TRUE,40636,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Conn_Timeout_Window,Inverters.1.Control.Conn_Timeout_Window,,,>H,TRUE,40637,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Real_Power_Setpoint,Inverters.1.Control.Real_Power_Setpoint,,,>H,TRUE,40638,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Real_Power_Time_Window,Inverters.1.Control.Real_Power_Time_Window,,,>H,TRUE,40639,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Real_Power_Timeout_Window_,Inverters.1.Control.Real_Power_Timeout_Window_,,,>H,TRUE,40640,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Real_Power_Ramp_Time,Inverters.1.Control.Real_Power_Ramp_Time,,,>H,TRUE,40641,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Reactive_Power_Setpoint,Inverters.1.Control.Reactive_Power_Setpoint,,,>h,TRUE,40642,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Reactive_Power_Time_Window,Inverters.1.Control.Reactive_Power_Time_Window,,,>H,TRUE,40643,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Reactive_Power_Timeout_Window,Inverters.1.Control.Reactive_Power_Timeout_Window,,,>H,TRUE,40644,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Reactive_Power_Ramp_Time,Inverters.1.Control.Reactive_Power_Ramp_Time,,,>H,TRUE,40645,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Power_Factor_Time_Window,Inverters.1.Control.Power_Factor_Time_Window,,,>H,TRUE,40646,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Power_Factor_Timeout_Window,Inverters.1.Control.Power_Factor_Timeout_Window,,,>H,TRUE,40647,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Power_Factor_Ramp_Time,Inverters.1.Control.Power_Factor_Ramp_Time,,,>H,TRUE,40648,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Control/Power_Factor_Setpoint,Inverters.1.Control.Power_Factor_Setpoint,,,>h,TRUE,40649,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/1/Device/CommSt,Inverters.1.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/Inverters/1/Meter/Device/CommSt,Inverters.1.Meter.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/Inverters/1/DC_Voltage,Inverters.1.DC_Voltage,,,>h,FALSE,40582,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/AC_Grid_Frequency,Inverters.1.AC_Grid_Frequency,,,>h,FALSE,40583,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/L1-to-L2_AC_Voltage,Inverters.1.L1-to-L2_AC_Voltage,,,>h,FALSE,40584,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/L2-to-L3_AC_Voltage,Inverters.1.L2-to-L3_AC_Voltage,,,>h,FALSE,40585,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/L1-to-L3_AC_Voltage,Inverters.1.L1-to-L3_AC_Voltage,,,>h,FALSE,40586,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/Real_AC_Power_Output,Inverters.1.Real_AC_Power_Output,,,>H,FALSE,40587,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/Reactive_AC_Power_Output,Inverters.1.Reactive_AC_Power_Output,,,>H,FALSE,40588,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/On-Grid Hours,Inverters.1.On-Grid Hours,,,>H,FALSE,40589,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/Fan On-Time Hours,Inverters.1.Fan On-Time Hours,,,>H,FALSE,40590,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/Temp AC Output Current Limit,Inverters.1.Temp AC Output Current Limit,,,>h,FALSE,40591,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/2/Control/Password,Inverters.2.Control.Password,,,>H,TRUE,40614,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Power_Priority_SmartGrid,Inverters.2.Control.Power_Priority_SmartGrid,,,>H,TRUE,40615,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Watts_Reference,Inverters.2.Control.Watts_Reference,,,>H,TRUE,40616,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/OpmodeControlMSW,Inverters.2.Control.OpmodeControlMSW,,,>H,TRUE,99999,,,
/Devices/Shirley-MA/North/Inverters/2/Control/OpmodeControlLSW,Inverters.2.Control.OpmodeControlLSW,,,>H,TRUE,99999,,,
/Devices/Shirley-MA/North/Inverters/2/Control/OpmodeStatusMSW,Inverters.2.Control.OpmodeStatusMSW,,,>H,FALSE,99999,,,
/Devices/Shirley-MA/North/Inverters/2/Control/OpmodeStatusLSW,Inverters.2.Control.OpmodeStatusLSW,,,>H,FALSE,99999,,,
/Devices/Shirley-MA/North/Inverters/2/Control/OpmodeTriggerMSW,Inverters.2.Control.OpmodeTriggerMSW,,,>H,TRUE,99999,,,
/Devices/Shirley-MA/North/Inverters/2/Control/OpmodeTriggerLSW,Inverters.2.Control.OpmodeTriggerLSW,,,>H,TRUE,99999,,,
/Devices/Shirley-MA/North/Inverters/2/Control/Conn_Time_Window,Inverters.2.Control.Conn_Time_Window,,,>H,TRUE,40636,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Conn_Timeout_Window,Inverters.2.Control.Conn_Timeout_Window,,,>H,TRUE,40637,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Real_Power_Setpoint,Inverters.2.Control.Real_Power_Setpoint,,,>H,TRUE,40638,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Real_Power_Time_Window,Inverters.2.Control.Real_Power_Time_Window,,,>H,TRUE,40639,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Real_Power_Timeout_Window_,Inverters.2.Control.Real_Power_Timeout_Window_,,,>H,TRUE,40640,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Real_Power_Ramp_Time,Inverters.2.Control.Real_Power_Ramp_Time,,,>H,TRUE,40641,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Reactive_Power_Setpoint,Inverters.2.Control.Reactive_Power_Setpoint,,,>h,TRUE,40642,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Reactive_Power_Time_Window,Inverters.2.Control.Reactive_Power_Time_Window,,,>H,TRUE,40643,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Reactive_Power_Timeout_Window,Inverters.2.Control.Reactive_Power_Timeout_Window,,,>H,TRUE,40644,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Reactive_Power_Ramp_Time,Inverters.2.Control.Reactive_Power_Ramp_Time,,,>H,TRUE,40645,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Power_Factor_Time_Window,Inverters.2.Control.Power_Factor_Time_Window,,,>H,TRUE,40646,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Power_Factor_Timeout_Window,Inverters.2.Control.Power_Factor_Timeout_Window,,,>H,TRUE,40647,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Power_Factor_Ramp_Time,Inverters.2.Control.Power_Factor_Ramp_Time,,,>H,TRUE,40648,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Control/Power_Factor_Setpoint,Inverters.2.Control.Power_Factor_Setpoint,,,>h,TRUE,40649,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/North/Inverters/2/Device/CommSt,Inverters.2.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/Inverters/2/Meter/A,Inverters.2.Meter.A,A,,>h,FALSE,40132,,Total AC Current,
/Devices/Shirley-MA/North/Inverters/2/Meter/AphA,Inverters.2.Meter.AphA,A,,>h,FALSE,40133,,Phase A Current,
/Devices/Shirley-MA/North/Inverters/2/Meter/AphB,Inverters.2.Meter.AphB,A,,>h,FALSE,40134,,Phase B Current,
/Devices/Shirley-MA/North/Inverters/2/Meter/AphC,Inverters.2.Meter.AphC,A,,>h,FALSE,40135,,Phase C Current,
/Devices/Shirley-MA/North/Inverters/2/Meter/PhV,Inverters.2.Meter.PhV,V,,>h,FALSE,40137,,Line to Neutral AC Voltage (average of active phases),
/Devices/Shirley-MA/North/Inverters/2/Meter/PhVphA,Inverters.2.Meter.PhVphA,V,,>h,FALSE,40138,,Phase Voltage AN,
/Devices/Shirley-MA/North/Inverters/2/Meter/PhVphB,Inverters.2.Meter.PhVphB,V,,>h,FALSE,40139,,Phase Voltage BN,
/Devices/Shirley-MA/North/Inverters/2/Meter/PhVphC,Inverters.2.Meter.PhVphC,V,,>h,FALSE,40140,,Phase Voltage CN,
/Devices/Shirley-MA/North/Inverters/2/Meter/PPV,Inverters.2.Meter.PPV,V,,>h,FALSE,40141,,Line to Line AC Voltage (average of active phases),
/Devices/Shirley-MA/North/Inverters/2/Meter/Hz,Inverters.2.Meter.Hz,Hz,,>h,FALSE,40146,,Frequency,
/Devices/Shirley-MA/North/Inverters/2/Meter/W,Inverters.2.Meter.W,W,,>h,FALSE,40148,,Total Real Power,
/Devices/Shirley-MA/North/Inverters/2/Meter/WphA,Inverters.2.Meter.WphA,W,,>h,FALSE,40149,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/WphB,Inverters.2.Meter.WphB,W,,>h,FALSE,40150,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/WphC,Inverters.2.Meter.WphC,W,,>h,FALSE,40151,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/W_SF,Inverters.2.Meter.W_SF,,,>H,FALSE,40152,,Real Power scale factor,
/Devices/Shirley-MA/North/Inverters/2/Meter/VA,Inverters.2.Meter.VA,VA,,>h,FALSE,40153,,AC Apparent Power,
/Devices/Shirley-MA/North/Inverters/2/Meter/VAphA,Inverters.2.Meter.VAphA,VA,,>h,FALSE,40154,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VAphB,Inverters.2.Meter.VAphB,VA,,>h,FALSE,40155,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VAphC,Inverters.2.Meter.VAphC,VA,,>h,FALSE,40156,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VA_SF,Inverters.2.Meter.VA_SF,,,>H,FALSE,40157,,Apparent Power scale factor,
/Devices/Shirley-MA/North/Inverters/2/Meter/VAR,Inverters.2.Meter.VAR,var,,>h,FALSE,40158,,Reactive Power,
/Devices/Shirley-MA/North/Inverters/2/Meter/VARphA,Inverters.2.Meter.VARphA,var,,>h,FALSE,40159,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VARphB,Inverters.2.Meter.VARphB,var,,>h,FALSE,40160,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VARphC,Inverters.2.Meter.VARphC,var,,>h,FALSE,40161,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/PF,Inverters.2.Meter.PF,Pct,,>h,FALSE,40163,,Power Factor,
/Devices/Shirley-MA/North/Inverters/2/Meter/PFphA,Inverters.2.Meter.PFphA,Pct,,>h,FALSE,40164,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/PFphB,Inverters.2.Meter.PFphB,Pct,,>h,FALSE,40165,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/PFphC,Inverters.2.Meter.PFphC,Pct,,>h,FALSE,40166,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/PF_SF,Inverters.2.Meter.PF_SF,,,>H,FALSE,40167,,Power Factor scale factor,
