REFERENCE POINT,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes,Variance
/Devices/Shirley-MA/South/ESS/Config/ProtocolVersion,ESS.Config.ProtocolVersion,,,>H,FALSE,40696,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumbBlocks,ESS.Config.NumbBlocks,,,>H,FALSE,40697,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumBattMeters,ESS.Config.NumBattMeters,,,>H,FALSE,40730,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumSiteMeters,ESS.Config.NumSiteMeters,,,>H,FALSE,40731,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumGenMeters,ESS.Config.NumGenMeters,,,>H,FALSE,40732,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumLoadMeters,ESS.Config.NumLoadMeters,,,>H,FALSE,40733,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumBusMeters,ESS.Config.NumBusMeters,,,>H,FALSE,40734,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/MaxChargePower,ESS.Config.MaxChargePower,,,>i,FALSE,40735,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/MaxDischargePower,ESS.Config.MaxDischargePower,,,>i,FALSE,40737,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/MaxApparentPower,ESS.Config.MaxApparentPower,,,>i,FALSE,40739,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/Energy,ESS.Config.Energy,,,>i,FALSE,40741,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/CommandSource,ESS.Status.CommandSource,,,>H,FALSE,40745,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/BatteryTargetP,ESS.Status.BatteryTargetP,,,>i,FALSE,40746,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/BatteryTargetQ,ESS.Status.BatteryTargetQ,,,>i,FALSE,40748,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/FullChargeEnergy,ESS.Status.FullChargeEnergy,,,>i,FALSE,40750,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/NominalEnergy,ESS.Status.NominalEnergy,,,>i,FALSE,40752,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/ExpectedEnergy,ESS.Status.ExpectedEnergy,,,>i,FALSE,40754,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/MaxChargePower,ESS.Status.MaxChargePower,,,>i,FALSE,40756,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/MaxDischargePower,ESS.Status.MaxDischargePower,,,>i,FALSE,40758,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/MaxApparentPower,ESS.Status.MaxApparentPower,,,>i,FALSE,40760,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Alarms/LossBattMeter,ESS.Alarms.LossBattMeter,,,>H,FALSE,40806,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Alarms/LossSiteMeter,ESS.Alarms.LossSiteMeter,,,>H,FALSE,40807,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Alarms/LossBusMeter,ESS.Alarms.LossBusMeter,,,>H,FALSE,40808,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Alarms/LossGenMeter,ESS.Alarms.LossGenMeter,,,>H,FALSE,40809,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Alarms/LossLoadMeter,ESS.Alarms.LossLoadMeter,,,>H,FALSE,40810,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Alarms/MainOpen,ESS.Alarms.MainOpen,,,>H,FALSE,40811,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Alarms/NumBlockCommFail,ESS.Alarms.NumBlockCommFail,,,>H,FALSE,40812,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Alarms/NumBlockOpFail,ESS.Alarms.NumBlockOpFail,,,>H,FALSE,40813,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Device/CommSt,ESS.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/South/ESS/Meter/A,ESS.Meter.A,A,,>h,FALSE,40132,,Total AC Current,
/Devices/Shirley-MA/South/ESS/Meter/AphA,ESS.Meter.AphA,A,,>h,FALSE,40133,,Phase A Current,
/Devices/Shirley-MA/South/ESS/Meter/AphB,ESS.Meter.AphB,A,,>h,FALSE,40134,,Phase B Current,
/Devices/Shirley-MA/South/ESS/Meter/AphC,ESS.Meter.AphC,A,,>h,FALSE,40135,,Phase C Current,
/Devices/Shirley-MA/South/ESS/Meter/PhV,ESS.Meter.PhV,V,,>h,FALSE,40137,,Line to Neutral AC Voltage (average of active phases),
/Devices/Shirley-MA/South/ESS/Meter/PhVphA,ESS.Meter.PhVphA,V,,>h,FALSE,40138,,Phase Voltage AN,
/Devices/Shirley-MA/South/ESS/Meter/PhVphB,ESS.Meter.PhVphB,V,,>h,FALSE,40139,,Phase Voltage BN,
/Devices/Shirley-MA/South/ESS/Meter/PhVphC,ESS.Meter.PhVphC,V,,>h,FALSE,40140,,Phase Voltage CN,
/Devices/Shirley-MA/South/ESS/Meter/PPV,ESS.Meter.PPV,V,,>h,FALSE,40141,,Line to Line AC Voltage (average of active phases),
/Devices/Shirley-MA/South/ESS/Meter/Hz,ESS.Meter.Hz,Hz,,>h,FALSE,40146,,Frequency,
