Service_Point_Name,Standard_Point_Name,Service_Units,Standard_Units
,,,
heatIndex,,,
presentWeather,,,
seaLevelPressure,air_pressure_at_mean_sea_level,,
precipitationLast6Hours,,,
relativeHumidity,relative_humidity,,
minTemperatureLast24Hours,,,
temperature,air_temperature,,
cloudLayers,cloud_area_fraction_in_atmosphere_layer,,
precipitationLastHour,,,
elevation,height_above_mean_sea_level,,
dewpoint,dew_point_temperature,,
visibility,visibility_in_air,,
barometricPressure,air_pressure,,
windDirection,wind_from_direction,,
windChill,,,
precipitationLast3Hours,,,
windSpeed,wind_speed,,
windGust,wind_speed_of_gust,,
maxTemperatureLast24Hours,,,
temperatureTrend,,,
